Language,original,english,german,chinesesimp,chinese,russian,czech,polish,hungarian,italian,spanish,french,portuguese,japanese,
"error_deposit_is_not_a_int","Error,deposit is not a int value.","Error,deposit is not a int value.","Fehler,Eingabe ist keine ganze Zahl.","错误，存款金额不是整数。","错误，存款不是int值。","Ошибка, значение депозита не является целым.","Chyba, vklad není hodnota int.","Błąd, depozyt nie jest wartością typu int.","Hiba, a betét nem int érték.","Errore, il deposito non è un valore int.","Error, el deposito no es un valor int","Erreur, le dépôt n'est pas une valeur int.","Erro, o depósito não é um valor int.","エラー、デポジットは整数値ではありません。",
"Error,deposit is not a int value.","Error,deposit is not a int value.","Error,deposit is not a int value.","Fehler,Eingabe ist keine ganze Zahl.","错误，存款金额不是整数。","错误，存款不是int值。","Ошибка, значение депозита не является целым.","Chyba, vklad není hodnota int.","Błąd, depozyt nie jest wartością typu int.","Hiba, a betét nem int érték.","Errore, il deposito non è un valore int.","Error, el deposito no es un valor int","Erreur, le dépôt n'est pas une valeur int.","Erro, o depósito não é um valor int.","エラー、デポジットは整数値ではありません。",
"error_not_enough_money_to_transfer","Error,not enough money to transfer.","Error,not enough money to transfer.",Nicht genug Geld zum transferieren.,错误，资金不足。,錯誤，資金不足。,"Ошибка, недостаточно денег для перевода.","Chyba, nedostatek peněz k převodu.","Błąd, za mało pieniędzy do przesłania.","Hiba, nincs elég pénz az átutaláshoz.","Errore, denaro insufficiente per il trasferimento.","Error, no tienes suficiente dinero para transferir","Erreur, pas assez d'argent à transférer.","Erro, dinheiro insuficiente para transferir.",エラー、送金するのに十分なお金がありません。,
"Banking_Menue","Banking Menu","Banking Menu","Bank Menü","银行菜单","銀行菜單","Банковское меню","Nabídka bankovnictví","Menu bankowe","Banki menü","Menu bancario","Menu Bancario","Menu bancaire","Menu Bancário","銀行メニュー",
"Deposit","Deposit","Deposit","Einzahlen","存钱","訂金","Депозит","Vklad","Kaucja","Letét","Depositare","Depositar","Dépôt","Depósito","預り金",
"open_banking_menu","Open banking menu","Open banking menu","Bank Menü öffnen","打开银行菜单","打開銀行菜單","Открыть банковское меню","Otevřít bankovní menu","Otwórz menu bankowe","Banki menü megnyitása","Apri menu bancario","Abrir menú bancario","Ouvrir le menu bancaire","Abrir menu bancário","銀行メニューを開く",
"Pay_out","Payout","Payout","Auszahlen","取钱","付款方式","Выплата","Výplaty","Wypłata","Kifizetés","Pagamento","Retirar","Paiement","Pagamento","配当性向",
"Player_Cash","Cash:",Cash:,"Bargeld:","现金：","現金：","Наличные:","Hotovost:","Gotówka:","Készpénz:","Contanti:","Efectivo:","Argent liquide:","Dinheiro:","現金：",
"Player_Bank","Balance:",Balance:,"Guthaben:","余额：","餘額：","Баланс:","Zůstatek:","Saldo:","Egyenleg:","Saldo:","Saldo:","Solde:","Saldo:","残高：",
"rob_money","Rob Money","Rob Money","Geld plündern","抢钱","搶錢","Взять деньги","Vezmi peníze","Brać pieniądze","Vegyél pénzt","Prendere soldi","Coger Dinero","Prend l'argent","Levar dinheiro","取钱",
"get_money_from_dead_body","Take money","Take money","Geld nehmen","拿钱","拿錢","Взять деньги","Vezmi peníze","Weź pieniądze","Vedd el a pénzt","Prendi i soldi","Coger Dinero","Prendre de l'argent","Leve dinheiro","お金を取る",
"Cash_at_Bank","Bank Balance:","Bank Balance:","Bankguthaben:","银行余额：","銀行餘額：","Баланс на банковском счете:","Bankovní zůstatek:","Saldo banku:","Banki egyenleg:","Saldo in banca:","Saldo en Banco:","Solde bancaire:","Saldo no Banco:","銀行残高：",
"money_transfer_successful","Money transfer successful,","Money transfer successful","Geldüberweisung erfolgreich,","资金转账成功,","資金轉帳成功,","Денежный перевод успешен,","Převod peněz byl úspěšný,","Przelew pieniędzy udany,","Pénzátutalás sikeres,","Trasferimento di denaro riuscito,","Transferencia de dinero exitosa,","Transfert d'argent réussi,","Transferência de dinheiro bem-sucedida,","資金転送が成功しました,",
"rob_bank","Rob Bank","Rob Bank","Bank ausrauben","抢银行","搶銀行","Ограбить банк","Loupež banky","Napadnij bank","Bankrablás","Rapina in banca","Robar Banco","Braquer une banque","Roubar Banco","銀行強盗",
"stop_rob_bank","Stop bank rob","Stop bank rob","Bankraub stoppen","停止银行抢劫","停止銀行搶劫","Остановить ограбление банка","Zastavit bankovní loupež","Zatrzymaj napad na bank","Bankrablás megállítása","Fermare la rapina in banca","Detener el atraco al banco","Arrêter le vol de banque","Parar roubo de banco","銀行強盗を停止",
"raid_has_not_finished","raid has not finished","raid has not finished","Überfall ist noch nicht beendet","抢劫还没有结束","突袭还没有结束","Рейд не закончился","Raid ještě neskončil","Nalot się nie zakończył","A rajtaütés még nem ért véget","La rapina non è finita","El atraco no ha terminado","Le raid n'est pas terminé","O assalto não terminou","襲撃は終わっていません",
"take_robt_money","Take Robt Money","Take Robt Money","Nehmen Sie Robt Geld","拿抢到的钱","拿Robt錢","Возьмите Robt деньги","Vezmi Robt peníze","Weź Robt pieniądze","Vedd el a Robt pénzt","Prendi i soldi di Robt","Coger Dinero Robt","Prendre l'argent de Robt","Leve dinheiro de Robt","Robtのお金を取る",
"no_raid_has_started","No raid has started","No raid has started","Kein Überfall hat begonnen","没有抢劫开始","没有突袭开始","Никакой рейд не начался","Žádný nájezd nezačal","Żaden nalot nie został rozpoczęty","Nem indult rajtaütés","Nessun raid è iniziato","Ningún atraco ha comenzado","Aucun raid n'a commencé","Nenhum assalto foi iniciado","襲撃は開始されていません",
"bank_rob_was_stopped","Bank robbery was stopped","Bank robbery was stopped","Bankraub wurde gestoppt","银行抢劫被停止","银行抢劫被停止","Банковское ограбление было остановлено","Bankovní loupež byla zastavena","Napad na bank został zatrzymany","Bankrablás megállt","La rapina in banca è stata interrotta","El atraco al banco fue detenido","Le vol de banque a été arrêté","O assalto ao banco foi interrompido","銀行強盗は停止されました",
"not_in_near_of_raided_bank","Not in near of raided bank","Not in near of raided bank","Nicht in der Nähe der überfallenen Bank","不在被抢银行附近","不在被搶銀行附近","Не вблизи ограбленного банка","Ne v blízkosti přepadené banky","Nie w pobliżu napadniętego banku","Nem a rajtaütött bank közelében","Non vicino alla banca rapinata","No cerca del banco asaltado","Pas près de la banque attaquée","Não perto do banco assaltado","襲撃された銀行の近くにいません",
"safe_is_open","Safe is open, robber can take the money now.","Safe is open, robber can take the money now.","Tresor ist offen, Räuber kann das Geld jetzt nehmen.","保险箱是开启的，劫匪现在可以拿钱了。","保險箱是開放的，強盜現在可以拿錢了。","Сейф открыт, грабитель может взять деньги сейчас.","Trezor je otevřený, lupič může peníze vzít.","Sejf jest otwarty, rabuś może teraz wziąć pieniądze.","A széf nyitva van, a rabló most veheti el a pénzt.","La cassaforte è aperta, il ladro può prendere i soldi ora.","La caja fuerte está abierta, el ladrón puede tomar el dinero ahora.","Le coffre-fort est ouvert, le voleur peut prendre l'argent maintenant.","O cofre está aberto, o ladrão pode pegar o dinheiro agora.","金庫は開いています、強盗は今お金を取ることができます。",
"dzl_safe_is_closed","Safe is closed","Safe is closed","Tresor ist geschlossen","保险箱是关闭的","保險箱是關閉的","Сейф закрыт","Trezor je uzavřený","Sejf jest zamknięty","A széf zárva van","La cassaforte è chiusa","La caja fuerte está cerrada","Le coffre-fort est fermé","O cofre está fechado","金庫は閉じられています",
"bank_can_not_be_used_in_moment","Bank cannot be used at the moment. Is there a robbery in progress or has a robbery just taken place?","Bank cannot be used at the moment. Is there a robbery in progress or has a robbery just taken place?","Bank kann im Moment nicht benutzt werden. Gibt es einen Raubüberfall im Gange oder hat gerade ein Raubüberfall stattgefunden?","银行目前无法使用。目前是否正在进行抢劫或刚刚发生了抢劫？","银行目前无法使用。目前是否正在进行抢劫或刚刚发生了抢劫？","Банк в данный момент не может быть использован. Идет ли в настоящее время ограбление или только что произошло ограбление?","Banka nemůže být v tuto chvíli použita. Probíhá loupež nebo právě proběhla loupež?","Bank nie może być używany w tej chwili. Czy trwa napad lub właśnie doszło do napadu?","A bank jelenleg nem használható. Folyamatban van egy rablás vagy éppen most történt egy rablás?","La banca non può essere utilizzata al momento. C'è un'attività di rapina in corso o è appena avvenuta una rapina?","El banco no se puede usar en este momento. ¿Hay un robo en progreso o acaba de tener lugar un robo?","La banque ne peut pas être utilisée pour le moment. Y a-t-il un vol en cours ou vient-il de se produire?","O banco não pode ser usado no momento. Há um roubo em andamento ou acabou de ocorrer um roubo?","銀行は現在使用できません。強盗が進行中か、強盗が発生したばかりですか？",
"bank_rob_was_successful","Bank robbery was successful","Bank robbery was successful","Bankraub war erfolgreich","银行抢劫成功","银行抢劫成功","Банковское ограбление прошло успешно","Bankovní loupež byla úspěšná","Napad na bank był udany","Bankrablás sikeres volt","La rapina in banca è stata un successo","El atraco al banco fue exitoso","Le vol de banque a réussi","O assalto ao banco foi bem-sucedido","銀行強盗は成功しました",
"bank_rob_was_started","Bank robbery was started","Bank robbery was started","Bankraub wurde gestartet","银行抢劫开始了","银行抢劫开始了","Банковское ограбление началось","Bankovní loupež byla zahájena","Napad na bank został rozpoczęty","Bankrablás elkezdődött","La rapina in banca è iniziata","El atraco al banco ha comenzado","Le vol de banque a commencé","O assalto ao banco foi iniciado","銀行強盗が始まりました",
"bank_rob_was_canceled","Bank robbery was canceled","Bank robbery was canceled","Bankraub wurde abgebrochen","银行抢劫被取消","银行抢劫被取消","Банковское ограбление было отменено","Bankovní loupež byla zrušena","Napad na bank został anulowany","Bankrablás megszakadt","La rapina in banca è stata annullata","El atraco al banco fue cancelado","Le vol de banque a été annulé","O assalto ao banco foi cancelado","銀行強盗はキャンセルされました",
"error_deposit_must_be_positiv","Transfer must be positive.","Transfer must be positive.","Überweisung muss positiv sein.","转账必须是正数。","转账必须是正数。","Перевод должен быть положительным.","Převod musí být kladný.","Transfer musi być dodatni.","A transzfernek pozitívnak kell lennie.","Il trasferimento deve essere positivo.","La transferencia debe ser positiva.","Le transfert doit être positif.","A transferência deve ser positiva.","転送は正でなければなりません。",
"error_no_player_was_selected","A player must be selected.","A player must be selected.","Ein Spieler muss ausgewählt werden.","必须选择一个玩家。","必须选择一个玩家。","Необходимо выбрать игрока.","Musí být vybrán hráč.","Gracz musi być wybrany.","Egy játékosnak ki kell választania.","Deve essere selezionato un giocatore.","Debe seleccionarse un jugador.","Un joueur doit être sélectionné.","Um jogador deve ser selecionado.","プレイヤーを選択する必要があります。",
"error_you_cant_send_money_to_yourself","You cannot transfer money to yourself.","You cannot transfer money to yourself.","Sie können kein Geld an sich selbst überweisen.","您不能将钱转给自己。","您不能將錢轉給自己。","Вы не можете перевести деньги себе.","Nemůžete poslat peníze sami sobě.","Nie możesz przesłać pieniędzy sobie.","Nem küldhetsz pénzt magadnak.","Non puoi trasferire denaro a te stesso.","No puedes transferir dinero a ti mismo.","Vous ne pouvez pas transférer d'argent à vous-même.","Você não pode transferir dinheiro para si mesmo.","自分にお金を送ることはできません。",
"Cash_Transfer","Cash Transfer","Cash Transfer","Bargeldtransfer","现金转账","現金轉帳","Перевод наличных","Převod hotovosti","Przelew gotówki","Készpénzátutalás","Trasferimento di denaro","Transferencia de efectivo","Transfert d'argent","Transferência de dinheiro","現金転送",
"start_work","Start work","Start work","Arbeit beginnen","开始工作","開始工作","Начать работу","Začít pracovat","Rozpocznij pracę","Munka megkezdése","Inizia a lavorare","Comenzar a trabajar","Commencer le travail","Começar a trabalhar","仕事を始める",
"no_space_left_in_inventory","No space left.","No space left.","Kein Platz mehr im Inventar.","没有空间了。","没有空间了。","Нет места.","Není místo.","Brak miejsca.","Nincs több hely.","Non c'è più spazio.","No hay espacio.","Il n'y a plus de place.","Não há mais espaço.","在庫に空きがありません。",
"you_got","You got","You got","Du hast","你得到了","你得到了","Вы получили","Dostal jsi","Dostałeś","Megkaptad","Hai ottenuto","Tienes","Vous avez","Você tem","あなたは得た",
"not_enough_money","Not enough cach!",Not enough cach!,"Nicht genug Geld!","现金不足！","现金不足！","Недостаточно денег!","Nedostatek peněz!","Za mało pieniędzy!","Nincs elég pénz!","Denaro insufficiente!","Dinero insuficiente!","Argent insuffisant!","Dinheiro insuficiente!","お金が足りません！",
"your_already_have_the_licence","You already have the license.","You already have the license.","Du hast die Lizenz bereits.","您已经拥有了许可证。","您已經擁有了許可證。","У вас уже есть лицензия.","Máte již licenci.","Masz już licencję.","Már van engedélyed.","Hai già la licenza.","Ya tienes la licencia.","Vous avez déjà la licence.","Você já tem a licença.","すでにライセンスを取得しています。",
"you_have_not_the_dependency_licence","You have not purchased the required license.","You have not purchased the required license.","Sie haben die erforderliche Lizenz nicht erworben.","您尚未购买所需的许可证。","您尚未購買所需的許可證。","Вы не приобрели необходимую лицензию.","Nem zakoupili jste požadovanou licenci.","Nie zakupiłeś wymaganej licencji.","Nem vásárolta meg a szükséges engedélyt.","Non hai acquistato la licenza richiesta.","No has comprado la licencia requerida.","Vous n'avez pas acheté la licence requise.","Você não comprou a licença necessária.","必要なライセンスを購入していません。",
"open_licence_menu","Open license office","Open license office","Lizenzbüro öffnen","打开许可证办公室","打開許可證辦公室","Открыть офис лицензий","Otevřít kancelář licencí","Otwórz biuro licencji","Nyissa meg az engedélyirodát","Apri l'ufficio licenze","Abrir oficina de licencias","Ouvrir le bureau des licences","Abrir escritório de licenças","ライセンスオフィスを開く",
"depend_on","Depending on","Depending on","Abhängig von","取决于","取決於","В зависимости от","V závislosti na","W zależności od","Attól függően","A seconda di","Dependiendo de","Selon","Dependendo de","に依存",
"Purchased","in possession","in possession","im Besitz","拥有","擁有","В наличии","v držení","w posiadaniu","birtokában","in possesso","en posesión","en possession","em posse","所有",
"start_crafting","Start crafting.","Start crafting.","Herstellung beginnen.","开始制作。","开始制作。","Начать изготовление.","Začít výrobu.","Rozpocznij tworzenie.","Készítés megkezdése.","Inizia la creazione.","Comenzar a fabricar.","Commencer la fabrication.","Começar a fabricar.","製作を開始",
"item_crafted","Item crafted.","Item crafted.","Gegenstand hergestellt.","物品制作完成。","物品製作完成。","Предмет изготовлен.","Položka vyrobena.","Przedmiot wykonany.","Tétel elkészült.","Articolo realizzato.","Artículo fabricado.","Article fabriqué.","Item fabricado.","アイテムが作成されました。",
"break_door","Break door","Break door","Tür aufbrechen","打破门","打破門","Взломать дверь","Zničit dveře","Zniszcz drzwi","Ajtó feltörése","Abbattere la porta","Romper la puerta","Casser la porte","Quebrar a porta","ドアを壊す",
"open_trader_menu","Open trader","Open trader","Händler öffnen","打开交易面板","打開交易面板","Открыть торговца","Otevřít obchodníka","Otwórz handlarza","Kereskedő megnyitása","Apri il commerciante","Abrir comerciante","Ouvrir le commerçant","Abrir comerciante","トレーダーを開く",
"Trader","Trader","Trader","Händler","交易员","交易員","Торговец","Obchodník","Handlarz","Kereskedő","Commerciante","Comerciante","Commerçant","Comerciante","トレーダー",
"Quantity","Quantity","Quantity","Menge","数量","數量","Количество","Množství","Ilość","Mennyiség","Quantità","Cantidad","Quantité","Quantidade","数量",
"trade_was_successful","Trade was successful.","Trade was successful.","Handel war erfolgreich.","交易成功。","交易成功。","Торговля прошла успешно.","Obchod byl úspěšný.","Handel był udany.","Az üzlet sikeres volt.","Il commercio è stato un successo.","El comercio fue exitoso.","Le commerce a réussi.","O comércio foi bem-sucedido.","取引は成功しました。",
"you_have_to_trade_minimum_one_item","You must trade at least one item.","You must trade at least one item.","Sie müssen mindestens einen Gegenstand handeln.","您必须至少交易一个物品。","您必须至少交易一个物品。","Вы должны обменять хотя бы один предмет.","Musíte obchodovat alespoň jeden předmět.","Musisz wymienić co najmniej jeden przedmiot.","Legalább egy tételt cserélned kell.","Devi scambiare almeno un articolo.","Debes intercambiar al menos un artículo.","Vous devez échanger au moins un article.","Você deve trocar pelo menos um item.","少なくとも1つのアイテムを交換する必要があります。",
"not_all_items_found_that_you_want_to_trade","Not found all items you want to trade.","Not found all items you want to trade.","Nicht alle Gegenstände gefunden, die Sie handeln möchten.","未找到您想要交易的所有物品。","未找到您想要交易的所有物品。","Не найдены все предметы, которые вы хотите обменять.","Nenalezeny všechny položky, které chcete obchodovat.","Nie znaleziono wszystkich przedmiotów, które chcesz wymienić.","Nem találta meg az összes olyan tételt, amelyet cserélni szeretne.","Non sono stati trovati tutti gli articoli che desideri scambiare.","No se encontraron todos los artículos que deseas intercambiar.","Tous les articles que vous souhaitez échanger n'ont pas été trouvés.","Não foram encontrados todos os itens que você deseja trocar.","取引したいすべてのアイテムが見つかりませんでした。",
"Inventory","Inventory","Inventory","Inventar","库存","庫存","Инвентарь","Inventář","Inwentarz","Raktár","Inventario","Inventario","Inventaire","Inventário","在庫",
"Workzon","Workzone","Workzone","Arbeitszonen","工作区","工作區","Рабочая зона","Workzone","Strefa robocza","Workzone","Zona di lavoro","Zona de trabajo","Zone de travail","Zona de Trabalho","ワークゾーン",
"tool_damage","Tool damage","Tool damage","Werkzeug Schaden","工具损坏","工具損壞","Повреждение инструмента","Poškození nástroje","Uszkodzenie narzędzia","Eszköz károsodása","Danno strumento","Daño de herramienta","Dommage d'outil","Dano de ferramenta","ツールの損傷",
"Tool","Tool","Tool","Werkzeug","工具","工具","Инструмент","Nástroj","Narzędzie","Eszköz","Strumento","Herramienta","Outil","Ferramenta","ツール",
"Yield","Yield","Yield","Ertrag","产量","產量","Доход","Výtěžek","Plon","Hozam","Resa","Rendimiento","Rendement","Rendimento","収量",
"Item","Item","Item","Gegenstand","物品","物品","Предмет","Položka","Przedmiot","Tétel","Articolo","Artículo","Article","Item","アイテム",
"chance_to_harvest","Chance to harvest","Chance to harvest","Chance zu ernten","收获机会","收穫機會","Шанс на урожай","Šance na sklizeň","Szansa na zbieranie","Lehetőség a betakarításra","Possibilità di raccolta","Oportunidad de cosecha","Chance de récolte","Chance de colheita","収穫の機会",
"Licence","Licence","Licence","Lizenz","许可证","許可證","Лицензия","Licence","Licencja","Engedély","Licenza","Licencia","Licence","Licença","ライセンス",
"transfer_money","Transfer money to player","Transfer money to player","Geld an Spieler überweisen","向玩家转账","向玩家轉帳","Перевести деньги игроку","Převést peníze hráči","Przelej pieniądze graczowi","Pénz átutalása a játékosnak","Trasferisci denaro al giocatore","Transferir dinero al jugador","Transférer de l'argent au joueur","Transferir dinheiro para o jogador","プレイヤーにお金を送金",
"no_tool_required","no tools needed","no tools needed","keine Werkzeuge benötigt","不需要工具","不需要工具","не требуются инструменты","nejsou vyžadovány žádné nástroje","nie są wymagane narzędzia","nincs szükség eszközökre","non sono necessari strumenti","no se necesitan herramientas","aucun outil requis","não são necessárias ferramentas","ツールは必要ありません",
"Give_Money_Menu","Give Money Menu","Give Money Menu","Geld geben Menü","给钱菜单","給錢菜單","Дать деньги Меню","Dej peníze Menu","Daj pieniądze Menu","Pénzt adó menü","Dare soldi Menu","Dar dinero Menú","Donner de l'argent Menu","Dê dinheiro Menu","お金を与えるメニュー",
"Give_Money","Give Money","Give Money","Geld geben","给钱","給錢","Дать деньги","Dej peníze","Daj pieniądze","Pénzt ad","Dare soldi","Dar dinero","Donner de l'argent","Dê dinheiro","お金を与える",
"Spawn","Spawn","Spawn","Spawn","重生","生成","Спаун","Spawn","Spawn","Spawn","Spawn","Spawn","Spawn","Spawn","スポーン",
"SpawnPoints","Spawn Points","Spawn Points","Spawn Punkte","重生点","生成點","Точки спауна","SpawnPoints","Punkty Spawn","Spawn pontok","Punti di spawn","Puntos de spawn","Points de spawn","Pontos de Spawn","スポーンポイント",
"Random","Random","Random","Zufällig","随机","隨機","Случайно","Náhodný","Losowo","Véletlenszerű","Casuale","Aleatorio","Aléatoire","Aleatório","ランダム",
"Civil","Civil","Civil","Zivil","平民","平民","Гражданский","Civilní","Cywilny","Civil","Civile","Civil","Civil","Civil","市民",
"Cop","Police","Police","Polizei","警察","警察","Полиция","Policie","Policja","Rendőrség","Polizia","Policía","Police","Polícia","警察",
"Medic","Medic","Medic","Medic","医生","醫生","Медик","Lékař","Lekarz","Orvos","Medico","Médico","Médecin","Médico","医者",
"Army","Army","Army","Armee","军队","軍隊","Армия","Armáda","Wojsko","Hadsereg","Esercito","Ejército","Armée","Exército","軍隊",
"Player_list","Player list","Player list","Spielerliste","玩家列表","玩家列表","Список игроков","Seznam hráčů","Lista graczy","Játékos lista","Elenco giocatori","Lista de jugadores","Liste des joueurs","Lista de jogadores","プレイヤーリスト",
"Cop_list","Police list","Police list","Polizeiliste","警察名单","警察名單","Список полицейских","Seznam policistů","Lista policjantów","Rendőr lista","Elenco poliziotti","Lista de policías","Liste de police","Lista de polícia","警察リスト",
"update_cop_list_successful","Update of the police list was successful.","Update of the police list was successful.","Aktualisierung der Polizeiliste war erfolgreich.","更新警察列表成功。","更新警察列表成功。","Обновление списка полиции прошло успешно.","Aktualizace seznamu policie byla úspěšná.","Aktualizacja listy policji zakończyła się sukcesem.","A rendőrlista frissítése sikeres volt.","L'aggiornamento dell'elenco della polizia è stato un successo.","La actualización de la lista de la policía fue exitosa.","La mise à jour de la liste de police a réussi.","A atualização da lista de polícia foi bem-sucedida.","警察リストの更新に成功しました。",
"save","Save","Save","Speichern","保存","保存","Сохранить","Uložit","Zapisz","Mentés","Salva","Guardar","Enregistrer","Salvar","保存",
"save_keys","Save keys","Save keys","Tasten speichern","保存密钥","保存鍵","Сохранить ключи","Uložit klávesy","Zapisz klawisze","Billentyűk mentése","Salva le chiavi","Guardar llaves","Enregistrer les touches","Salvar chaves","キーを保存",
"Loadout","Loadout","Loadout","Ausrüstung","装备","裝備","Снаряжение","Vybavení","Wyposażenie","Felszerelés","Equipaggiamento","Equipar","Équipement","Equipar","装備",
"Equip","Equip","Equip","Ausrüsten","装备","裝備","Экипировать","Vybavit","Wyposażyć","Felszerel","Equipaggiare","Equipar","Équiper","Equipar","装備",
"Apple_orchard","Apple orchard","Apple orchard","Apfelplantage","苹果园","蘋果園","Яблоневый сад","Jabloňový sad","Sad jabłoni","Almás","Melaio","Huerto de manzanas","Verger de pommiers","Pomar de maçã","リンゴ園",
"Stone_quarry","Stone quarry","Stone quarry","Steinbruch","采石场","採石場","Каменоломня","Lom","Kamieniołom","Kőbánya","Cava di pietra","Cantera de piedra","Carrière de pierre","Pedreira","石切り場",
"coal_mine","Coal mine","Coal mine","Kohlemine","煤矿","煤礦","Угольная шахта","Uhelný důl","Kopalnia węgla","Szénbánya","Miniera di carbone","Mina de carbón","Mine de charbon","Mina de carvão","炭鉱",
"Copper_mine","Copper mine","Copper mine","Kupfermine","铜矿","銅礦","Медная шахта","Měděný důl","Kopalnia miedzi","Rézbánya","Miniera di rame","Mina de cobre","Mine de cuivre","Mina de cobre","銅鉱山",
"Iron_mine","Iron mine","Iron mine","Eisenerzmine","铁矿","鐵礦","Железная шахта","Železný důl","Kopalnia żelaza","Vasbánya","Miniera di ferro","Mina de hierro","Mine de fer","Mina de ferro","鉄鉱山",
"Gold_mine","Gold mine","Gold mine","Goldmine","金矿","金礦","Золотая шахта","Zlatý důl","Kopalnia złota","Aranybánya","Miniera d'oro","Mina de oro","Mine d'or","Mina de ouro","金鉱山",
"Diamond_mine","Diamond mine","Diamond mine","Diamantenmine","钻石矿","鑽石礦","Алмазная шахта","Diamantový důl","Kopalnia diamentów","Gyémántbánya","Miniera di diamanti","Mina de diamantes","Mine de diamants","Mina de diamantes","ダイヤモンド鉱山",
"Sawmill","Sawmill","Sawmill","Sägewerk","锯木厂","鋸木廠","Лесопилка","Pila","Tartak","Fűrészmalom","Segheria","Aserradero","Scierie","Serraria","製材所",
"Cannabis_plantation","Cannabis plantation","Cannabis plantation","Cannabisplantage","大麻种植园","大麻種植園","Плантация конопли","Plantáž konopí","Plantacja konopi","Kenderültetvény","Piantagione di cannabis","Plantación de cannabis","Plantation de cannabis","Plantação de cannabis","大麻農園",
"Cocaine_plantation","Cocaine plantation","Cocaine plantation","Kokainplantage","可卡因种植园","古柯鹼種植園","Плантация кокаина","Plantáž kokainu","Plantacja kokainy","Kokainültetvény","Piantagione di cocaina","Plantación de cocaína","Plantation de cocaïne","Plantação de cocaína","コカイン農園",
"Scrap_yard","Scrap yard","Scrap yard","Schrottplatz","废品场","廢品場","Металлолом","Skládka","Złomowisko","Hulladékudvar","Ferro vecchio","Chatarrería","Ferraille","Ferro-velho","スクラップヤード",
"error_category_not_found","Category not found","Category not found","Kategorie nicht gefunden","未找到类别","未找到類別","Категория не найдена","Kategorie nenalezena","Kategoria nie znaleziona","Kategória nem található","Categoria non trovata","Categoría no encontrada","Catégorie non trouvée","Categoria não encontrada","カテゴリが見つかりません",
"open_loadout_menu","Open loadout","Open loadout","Ausrüstung öffnen","打开装备","打開裝備","Открыть снаряжение","Otevřít výbavu","Otwórz ekwipun","Felszerelés megnyitása","Apri l'equipaggiamento","Abrir equipamiento","Ouvrir l'équipement","Abrir equipamento","装備を開く",
"you_recive_a_paycheck","You have received a paycheck","You have received a paycheck","Sie haben einen Gehaltsscheck erhalten","您已收到工资","您已收到工资支票","Вы получили зарплату","Dostali jste výplatu","Otrzymałeś wypłatę","Fizetést kaptál","Hai ricevuto uno stipendio","Has recibido un cheque de pago","Vous avez reçu un chèque de paie","Você recebeu um cheque de pagamento","給与を受け取りました",
